Month,type_IDs,amount
1,1,16809932
2,1,19554477
3,1,22659010
4,1,20312040
5,1,22768447
6,1,19284755
7,1,20732099
8,1,22566766
9,1,20056487
10,1,22299761
11,1,20806123
12,1,16665365
1,2,15231368
2,2,16980925
3,2,19832126
4,2,16919872
5,2,17691427
6,2,15836171
7,2,17169239
8,2,18415592
9,2,15892774
10,2,18677490
11,2,17398998
12,2,15404107
1,3,7568547
2,3,10487311
3,3,11528895
4,3,9592750
5,3,11263486
6,3,9526795
7,3,9657327
8,3,11756706
9,3,9878596
10,3,11233979
11,3,10367915
12,3,7941245
1,4,1466256
2,4,1522981
3,4,1809774
4,4,1684827
5,4,1790656
6,4,1535636
7,4,1799245
8,4,1845673
9,4,1676490
10,4,1872410
11,4,1755492
12,4,1534399
1,5,116568
2,5,103197
3,5,117180
4,5,107480
5,5,109456
6,5,101215
7,5,109103
8,5,110348
9,5,104525
10,5,121267
11,5,111699
12,5,113023
1,6,721229
2,6,1118494
3,6,1224816
4,6,946218
5,6,1258704
6,6,1077970
7,6,967622
8,6,1261319
9,6,1033758
10,6,1232418
11,6,1182863
12,6,878944
